id,category,text,option1,option2,option3,option4,correct_index
1,history,In which year did World War II begin?,1937,1939,1941,1945,2
2,history,Who was the first president of Russia?,Boris Yeltsin,Mikhail Gorbachev,Vladimir Lenin,Joseph Stalin,1
3,history,In which year did the USSR collapse?,1989,1990,1991,1992,3
4,history,Who built St. Petersburg?,Ivan the Terrible,Peter I,Catherine II,Alexander I,2
5,history,Who was the first emperor of Russia?,Peter I,Catherine I,Paul I,Alexander I,1
6,history,In which year did the Battle of Kulikovo take place?,1380,1240,1480,1552,1
7,history,Who wrote "The Tale of Bygone Years"?,Nestor,Hilarion,Metropolitan Alexei,Sergius of Radonezh,1
8,history,When was the Russian Constitution adopted?,1991,1993,1995,2000,2
9,history,Who led the USSR during World War II?,Lenin,Stalin,Khrushchev,Brezhnev,2
10,history,In which year was Rus' baptized?,988,1015,1054,1147,1
11,science,Which planet is known as the 'Red Planet'?,Venus,Mars,Jupiter,Saturn,2
12,science,Who discovered the law of universal gravitation?,Albert Einstein,Isaac Newton,Galileo Galilei,Nikola Tesla,2
13,science,How many elements are in Mendeleev's periodic table?,108,118,128,138,2
14,science,What is measured in hertz?,Electric current,Resistance,Frequency,Voltage,3
15,science,What is the closest star to Earth?,Sirius,Proxima Centauri,Alpha Centauri,Betelgeuse,2
16,science,Who developed the theory of relativity?,Newton,Einstein,Tesla,Curie,2
17,science,How many chromosomes do humans have?,42,46,48,52,2
18,science,What is H2O?,Carbon dioxide,Table salt,Water,Sulfuric acid,3
19,science,Who invented the telephone?,Edison,Bell,Tesla,Marconi,2
20,science,What is the hardest substance in the human body?,Bone,Tooth enamel,Nail,Cartilage,2
21,culture,Who wrote the novel 'War and Peace'?,Fyodor Dostoevsky,Anton Chekhov,Leo Tolstoy,Ivan Turgenev,3
22,culture,Which artist cut off his own ear?,Pablo Picasso,Vincent van Gogh,Salvador Dali,Claude Monet,2
23,culture,In which country did ballet originate?,Italy,France,Russia,England,1
24,culture,Who painted the 'Black Square'?,Kazimir Malevich,Vasily Kandinsky,Pablo Picasso,Marc Chagall,1
25,culture,Who is the author of the novel 'Crime and Punishment'?,Tolstoy,Dostoevsky,Chekhov,Gogol,2
26,culture,Which composer wrote the 'Moonlight Sonata'?,Mozart,Beethoven,Bach,Tchaikovsky,2
27,culture,In which city is the Prado Museum located?,Paris,Madrid,Rome,London,2
28,culture,Who wrote 'Hamlet'?,Chaucer,Shakespeare,Dickens,Byron,2
29,culture,Which artist painted the 'Sistine Madonna'?,Leonardo da Vinci,Raphael,Michelangelo,Titian,2
30,culture,Who is the author of the poem 'Eugene Onegin'?,Lermontov,Pushkin,Nekrasov,Tyutchev,2
31,sports,How many players are on a football team?,9,10,11,12,3
32,sports,Which sport uses a puck?,Hockey,Basketball,Volleyball,Tennis,1
33,sports,How many rings are on the Olympic flag?,4,5,6,7,2
34,sports,Which tennis player has won the most Grand Slam tournaments?,Novak Djokovic,Rafael Nadal,Roger Federer,Pete Sampras,3
35,sports,In which year were the Olympic Games held in Moscow?,1976,1980,1984,1988,2
36,sports,How many periods are in ice hockey?,2,3,4,5,2
37,sports,Which country won the 2018 FIFA World Cup?,Germany,Brazil,France,Argentina,3
38,sports,In which sport is Michael Jordan known?,Baseball,Basketball,American football,Golf,2
39,sports,How many players are on a basketball team on the court?,4,5,6,7,2
40,sports,Which stadium is called the 'Theatre of Dreams'?,Camp Nou,San Siro,Old Trafford,Maracana,3
